sos_utc,year,hour_ny,session,dir,bars_alive,stage_max,reached_zone,edge_ever,veto_ever,armed_ever,traded,verdict,edge_price
2018-09-28T12:45:00,2018,08,London,long,157,4,True,False,False,False,False,no FVG in the zone,
2018-10-11T12:30:00,2018,08,London,long,162,2,False,False,True,False,False,never retraced to 0.5,
2018-10-23T14:15:00,2018,10,NewYork,short,80,2,False,False,False,False,False,never retraced to 0.5,
2018-10-24T20:45:00,2018,16,NewYork,long,159,4,True,False,False,False,False,no FVG in the zone,
2018-11-01T06:15:00,2018,02,Asia,long,22,2,False,False,True,False,False,never retraced to 0.5,
2018-11-14T17:45:00,2018,12,NewYork,long,144,2,False,False,True,False,False,never retraced to 0.5,
2018-11-20T18:00:00,2018,13,NewYork,short,80,4,True,False,False,False,False,no FVG in the zone,
2018-11-21T15:15:00,2018,10,NewYork,long,339,4,True,False,False,False,False,no FVG in the zone,
2018-11-27T15:00:00,2018,10,NewYork,short,87,2,False,False,True,False,False,never retraced to 0.5,
2018-11-28T17:00:00,2018,12,NewYork,long,72,3,True,False,True,False,False,no FVG in the zone,
2018-11-29T18:00:00,2018,13,NewYork,short,59,2,False,False,False,False,False,never retraced to 0.5,
2018-12-04T17:00:00,2018,12,NewYork,short,10,4,True,False,False,False,False,no FVG in the zone,
2018-12-06T14:30:00,2018,09,NewYork,long,87,4,True,False,False,False,False,no FVG in the zone,
2018-12-10T07:15:00,2018,02,Asia,short,41,3,True,False,False,False,False,no FVG in the zone,
2018-12-11T05:45:00,2018,00,Asia,long,53,4,True,False,False,False,False,no FVG in the zone,
2018-12-11T19:15:00,2018,14,NewYork,short,160,4,True,False,False,False,False,no FVG in the zone,
2018-12-14T16:30:00,2018,11,NewYork,long,79,3,True,False,False,False,False,no FVG in the zone,
2018-12-19T19:00:00,2018,14,NewYork,short,71,4,True,False,False,False,False,no FVG in the zone,
2018-12-21T18:00:00,2018,13,NewYork,short,80,4,True,False,False,False,False,no FVG in the zone,
2018-12-24T15:15:00,2018,10,NewYork,long,25,2,False,False,False,False,False,never retraced to 0.5,
2018-12-26T17:45:00,2018,12,NewYork,short,137,4,True,False,False,False,False,no FVG in the zone,
2019-01-02T12:15:00,2019,07,London,short,24,4,True,False,False,False,False,no FVG in the zone,
2019-01-02T23:00:00,2019,18,Late,long,28,2,False,False,False,False,False,never retraced to 0.5,
2019-01-04T08:30:00,2019,03,Asia,short,19,2,False,False,False,False,False,never retraced to 0.5,
2019-01-07T12:45:00,2019,07,London,long,236,4,True,False,False,False,False,no FVG in the zone,
2019-01-25T15:30:00,2019,10,NewYork,long,50,2,False,False,True,False,False,never retraced to 0.5,
2019-01-28T13:30:00,2019,08,London,short,61,4,True,False,False,False,False,no FVG in the zone,
2019-01-30T13:15:00,2019,08,London,short,22,2,False,False,False,False,False,never retraced to 0.5,
2019-01-30T19:00:00,2019,14,NewYork,long,459,4,True,False,True,False,False,no FVG in the zone,
2019-02-06T19:00:00,2019,14,NewYork,short,526,4,True,False,True,False,False,no FVG in the zone,
2019-02-18T13:30:00,2019,08,London,long,55,2,False,False,False,False,False,never retraced to 0.5,
2019-02-22T10:00:00,2019,05,London,short,300,2,False,False,False,False,False,never retraced to 0.5,
2019-03-06T06:45:00,2019,01,Asia,long,180,4,True,False,True,False,False,no FVG in the zone,
2019-03-12T18:45:00,2019,14,NewYork,long,17,2,False,False,False,False,False,never retraced to 0.5,
2019-03-14T02:30:00,2019,22,Asia,short,17,2,False,False,True,False,False,never retraced to 0.5,
2019-03-15T13:45:00,2019,09,NewYork,long,137,3,True,False,False,False,False,no FVG in the zone,
2019-03-20T07:30:00,2019,03,Asia,short,31,4,True,False,False,False,False,no FVG in the zone,
2019-03-20T18:00:00,2019,14,NewYork,long,46,2,False,False,False,False,False,never retraced to 0.5,
2019-03-21T10:30:00,2019,06,London,short,12,4,True,False,False,False,False,no FVG in the zone,
2019-03-28T11:45:00,2019,07,London,short,14,2,False,False,True,False,False,never retraced to 0.5,
2019-03-29T11:45:00,2019,07,London,long,152,4,True,False,True,False,False,no FVG in the zone,
2019-04-02T04:00:00,2019,00,Asia,short,217,4,True,False,True,False,False,no FVG in the zone,
2019-04-08T01:30:00,2019,21,Asia,long,19,2,False,False,False,False,False,never retraced to 0.5,
2019-04-18T07:00:00,2019,03,Asia,long,70,4,True,False,False,False,False,no FVG in the zone,
2019-04-23T06:00:00,2019,02,Asia,short,213,4,True,False,False,False,False,no FVG in the zone,
2019-04-25T13:30:00,2019,09,NewYork,long,67,2,False,False,False,False,False,never retraced to 0.5,
2019-05-02T02:45:00,2019,22,Asia,short,12,2,False,False,False,False,False,never retraced to 0.5,
2019-05-03T12:30:00,2019,08,London,long,92,4,True,False,True,False,False,no FVG in the zone,
2019-05-06T12:45:00,2019,08,London,short,135,4,True,False,False,False,False,no FVG in the zone,
2019-05-08T00:45:00,2019,20,Asia,long,20,2,False,False,False,False,False,never retraced to 0.5,
2019-05-13T12:45:00,2019,08,London,long,372,4,True,False,True,False,False,no FVG in the zone,
2019-05-17T14:00:00,2019,10,NewYork,short,73,2,False,False,True,False,False,never retraced to 0.5,
2019-06-04T12:00:00,2019,08,London,short,68,4,True,False,False,False,False,no FVG in the zone,
2019-06-05T15:00:00,2019,11,NewYork,short,180,4,True,False,False,False,False,no FVG in the zone,
2019-06-07T14:15:00,2019,10,NewYork,long,59,4,True,False,False,False,False,no FVG in the zone,
2019-06-10T06:15:00,2019,02,Asia,short,96,2,False,False,False,False,False,never retraced to 0.5,
2019-06-12T02:00:00,2019,22,Asia,long,14,2,False,False,True,False,False,never retraced to 0.5,
2019-06-12T13:15:00,2019,09,NewYork,short,99,4,True,True,False,False,False,arm source disabled,1334.41
2019-06-13T15:15:00,2019,11,NewYork,long,55,4,True,True,False,False,False,arm source disabled,1331.92
2019-06-14T17:00:00,2019,13,NewYork,short,51,2,False,False,False,False,False,never retraced to 0.5,
2019-06-18T05:45:00,2019,01,Asia,long,21,2,False,False,False,False,False,never retraced to 0.5,
2019-06-18T13:45:00,2019,09,NewYork,short,115,4,True,True,False,False,False,arm source disabled,1351.62
