entry_utc,entry_ny,year,month,weekday,hour_ny,session,regime,dir,r,grade,pnl_usd,entry_price,exit_price,stop_distance,bars_held,mfe_usd,mae_usd,mfe_r,mae_r,exit_reason,costs_usd
2018-10-25T01:00:00,2018-10-24 21:00,2018,10,Wed,21,Asia,TRANSITIONING,short,1.0,win,1000.0,1236.68,1233.64,3.03,116,2835.26,-822.08,2.835,-0.822,S-RUN,0.0
2018-11-28T17:00:00,2018-11-28 12:00,2018,11,Wed,12,NewYork,TRENDING,short,0.058,be,63.95,1224.88,1224.58,5.16,1,2376.94,-349.61,2.161,-0.318,S-RUN,0.0
2018-12-03T05:45:00,2018-12-03 00:45,2018,12,Mon,00,Asia,TRENDING,short,-1.0,loss,-1106.4,1226.6,1228.96,2.36,5,487.56,-1603.34,0.441,-1.449,S-RUN,0.0
2019-03-21T16:15:00,2019-03-21 12:15,2019,03,Thu,12,NewYork,TRENDING,long,1.0,win,995.76,1304.1,1309.58,5.48,358,3699.56,-159.9,3.715,-0.161,L-RUN,0.0
2019-05-08T15:45:00,2019-05-08 11:45,2019,05,Wed,11,NewYork,TRENDING,long,1.38,win,1511.88,1281.34,1287.36,4.37,87,1715.14,-508.14,1.566,-0.464,L-RUN,0.0
2019-06-12T07:45:00,2019-06-12 03:45,2019,06,Wed,03,Asia,TRENDING,short,-1.0,loss,-1246.52,1337.57,1348.18,10.62,178,905.97,-1925.27,0.727,-1.545,S-RUN,0.0
2019-06-18T12:15:00,2019-06-18 08:15,2019,06,Tue,08,London,TRENDING,short,0.044,be,48.99,1351.22,1350.92,6.87,12,1949.8,-550.32,1.738,-0.491,S-RUN,0.0
2019-09-13T14:30:00,2019-09-13 10:30,2019,09,Fri,10,NewYork,TRENDING,long,0.036,be,41.0,1492.68,1492.98,8.25,292,2651.9,-1282.56,2.354,-1.138,L-RUN,0.0
2020-01-30T00:30:00,2020-01-29 19:30,2020,01,Wed,19,Late,TRANSITIONING,short,-1.0,loss,-1130.87,1578.99,1588.44,9.45,153,965.81,-1200.24,0.854,-1.061,S-RUN,0.0
2020-02-03T08:45:00,2020-02-03 03:45,2020,02,Mon,03,Asia,TRENDING,long,-1.154,loss,-1174.67,1573.44,1570.52,2.53,25,3121.73,-1633.28,3.067,-1.605,L-RUN,0.0
