time,open,high,low,close,px_eq_tol,px_eq_ph,px_eq_pl,px_eqh_new,px_eql_new,px_eqh_cnt,px_eql_cnt,px_eqh_0,px_eqh_1,px_eqh_2,px_eqh_3,px_eqh_4,px_eqh_5,px_eql_0,px_eql_1,px_eql_2,px_eql_3,px_eql_4,px_eql_5
1762124400,3990.76,3998.36,3983.8,3996.36,0,,,,,0,0,,,,,,,,,,,,
1762125300,3996.36,3999.01,3988.36,3994.87,0,,,,,0,0,,,,,,,,,,,,
1762126200,3994.82,3995.91,3978.48,3979.22,0,,,,,0,0,,,,,,,,,,,,
1762127100,3979.25,3985.3,3977.95,3979.99,0,,,,,0,0,,,,,,,,,,,,
1762128000,3979.84,3987.8,3966.8,3968.48,0,,,,,0,0,,,,,,,,,,,,
1762128900,3968.5,3973.12,3962.51,3970.73,0,,,,,0,0,,,,,,,,,,,,
1762129800,3970.71,3977.63,3963.4,3972.74,0,,,,,0,0,,,,,,,,,,,,
1762130700,3972.71,3976.75,3968.1,3970.8,0,,3962.51,,,0,0,,,,,,,,,,,,
1762131600,3970.84,3988.97,3965.63,3986.54,0,,,,,0,0,,,,,,,,,,,,
1762132500,3986.51,3999.5,3986.47,3998.9,0,,,,,0,0,,,,,,,,,,,,
1762133400,3998.85,4001.86,3990.36,3992.1,0,,,,,0,0,,,,,,,,,,,,
1762134300,3992.09,4000.23,3990.36,3996.08,0,,,,,0,0,,,,,,,,,,,,
1762135200,3996.07,3998.77,3990.4,3995.07,0,4001.86,,,,0,0,,,,,,,,,,,,
1762136100,3995.07,4006,3994.94,3995.6,0,,,,,0,0,,,,,,,,,,,,
1762137000,3995.59,4006.31,3995.06,4001.77,0,,,,,0,0,,,,,,,,,,,,
1762137900,4001.76,4006.22,3997.92,4004.04,0,,,,,0,0,,,,,,,,,,,,
1762138800,4004.1,4011.43,4002.41,4007.74,0,,,,,0,0,,,,,,,,,,,,
1762139700,4007.73,4010.41,4005.65,4006.12,0,,,,,0,0,,,,,,,,,,,,
1762140600,4006.16,4013.2,4005.53,4010.89,0,,,,,0,0,,,,,,,,,,,,
1762141500,4010.85,4015.35,4010.85,4011.36,0,,,,,0,0,,,,,,,,,,,,
1762142400,4011.31,4014.22,4006.85,4009.78,0,,,,,0,0,,,,,,,,,,,,
1762143300,4009.71,4009.99,4001.9,4005.6,0,4015.35,,,,0,0,,,,,,,,,,,,
1762144200,4005.6,4007.77,4002.6,4006.97,0,,,,,0,0,,,,,,,,,,,,
1762145100,4006.96,4007.68,4002.83,4003.77,0,,4001.9,,,0,0,,,,,,,,,,,,
1762146000,4003.78,4010.05,3997.87,4007.1,0,,,,,0,0,,,,,,,,,,,,
1762146900,4007.11,4012.64,4005.13,4012.01,0,,,,,0,0,,,,,,,,,,,,
1762147800,4012.07,4018.5,4012.06,4014.86,0,,3997.87,,,0,0,,,,,,,,,,,,
1762148700,4014.82,4016.95,4011.44,4014.03,0,,,,,0,0,,,,,,,,,,,,
1762149600,4014.04,4016.83,4010.22,4014.64,0,4018.5,,,,0,0,,,,,,,,,,,,
1762150500,4014.64,4018.55,4013.42,4016.54,0,,,,,0,0,,,,,,,,,,,,
1762151400,4016.54,4018.01,4013.24,4015.64,0,,4010.22,,,0,0,,,,,,,,,,,,
1762152300,4015.64,4018.62,4013.94,4017.64,0,,,,,0,0,,,,,,,,,,,,
1762153200,4017.6,4023.6,4015.15,4015.28,0,,,,,0,0,,,,,,,,,,,,
1762154100,4015.29,4020.58,4013.6,4019.11,0,,,,,0,0,,,,,,,,,,,,
1762155000,4019.12,4023.21,4015.89,4022.19,0,4023.6,,,,0,0,,,,,,,,,,,,
1762155900,4022.19,4026.04,4020.64,4025.3,0,,4013.6,,,0,0,,,,,,,,,,,,
1762156800,4025.32,4028.03,4020.81,4021.75,0,,,,,0,0,,,,,,,,,,,,
1762157700,4021.7,4023.63,4011.14,4014.49,0,,,,,0,0,,,,,,,,,,,,
1762158600,4014.51,4017.68,4012.16,4016.78,0,4028.03,,,,0,0,,,,,,,,,,,,
1762159500,4016.77,4020.59,4013.21,4019.64,0,,4011.14,,,0,0,,,,,,,,,,,,
1762160400,4019.62,4026.07,4016.69,4021.74,0,,,,,0,0,,,,,,,,,,,,
1762161300,4021.76,4022.23,4005.08,4007.25,0,,,,,0,0,,,,,,,,,,,,
1762162200,4007.26,4008.08,3996.46,3997.2,0,4026.07,,,,0,0,,,,,,,,,,,,
1762163100,3997.2,4005.29,3993.24,4000.56,0,,,,,0,0,,,,,,,,,,,,
1762164000,4000.53,4004.83,3994.54,3997.6,0,,,,,0,0,,,,,,,,,,,,
1762164900,3997.56,4000.69,3996.05,3997.87,0,,3993.24,,,0,0,,,,,,,,,,,,
1762165800,3997.85,4001.31,3994.52,3998.12,0,,,,,0,0,,,,,,,,,,,,
1762166700,3998.1,3999.38,3994.8,3998.81,0,,,,,0,0,,,,,,,,,,,,
1762167600,3998.79,4002.28,3994.54,4000.56,0,,3994.52,,,0,0,,,,,,,,,,,,
1762168500,4000.56,4006.96,3998.92,4006.55,2.2927499999999963,,,,,0,0,,,,,,,,,,,,
1762169400,4006.48,4007.14,4003,4005.36,2.2675949999999956,,,,,0,0,,,,,,,,,,,,
1762170300,4005.34,4008.61,4004.53,4007.67,2.2426430999999956,,,,,0,0,,,,,,,,,,,,
1762171200,4007.65,4008.73,4004.91,4007.17,2.2168902379999964,,,,,0,0,,,,,,,,,,,,
1762172100,4007.15,4007.79,4002,4005.3,2.2015024332399964,,,,,0,0,,,,,,,,,,,,
1762173000,4005.3,4011,4003.75,4008.31,2.1937223845751963,,,,,0,0,,,,,,,,,,,,
1762173900,4008.3,4013.56,4008.11,4013.45,2.177097936883692,,4002,,,0,0,,,,,,,,,,,,
1762174800,4013.46,4018.39,4012.05,4015.69,2.1652559781460163,,,,,0,0,,,,,,,,,,,,
1762175700,4015.69,4019.65,4014.03,4014.34,2.1500508585830955,,,,,0,0,,,,,,,,,,,,
1762176600,4014.39,4020.49,4010.85,4017.43,2.155249841411433,,,,,0,0,,,,,,,,,,,,
1762177500,4017.43,4018.25,4014.82,4016.08,2.1292948445832036,,,,,0,0,,,,,,,,,,,,
1762178400,4016.09,4020.88,4012.82,4016.21,2.1270089476915395,,4010.85,,,0,0,,,,,,,,,,,,
1762179300,4016.16,4020.51,4009.44,4010.25,2.1398187687377095,,,,,0,0,,,,,,,,,,,,
1762180200,4010.26,4013.59,4001.64,4012.51,2.1567723933629566,4020.88,,,,0,0,,,,,,,,,,,,
1762181100,4012.52,4026.08,4012.44,4022.78,2.181836945495697,,,,,0,0,,,,,,,,,,,,
1762182000,4022.88,4030.56,4022.88,4026.63,2.1771002065857816,,4001.64,,,0,0,,,,,,,,,,,,
1762182900,4026.6,4028.88,4008.67,4011.58,2.234608202454066,,,,,0,0,,,,,,,,,,,,
1762183800,4011.58,4022.56,4005.58,4021.42,2.274816038404985,4030.56,,,,0,0,,,,,,,,,,,,
1762184700,4021.49,4023.78,4003.46,4008.63,2.330919717636886,,,,,0,0,,,,,,,,,,,,
1762185600,4008.58,4013.49,4002.05,4004.75,2.341501323284146,,,,,0,0,,,,,,,,,,,,
1762186500,4004.71,4005.31,3995.42,3998.08,2.3441212968184626,,,,,0,0,,,,,,,,,,,,
1762187400,3998.07,4004.48,3996.01,4003.69,2.339588870882092,,,,,0,0,,,,,,,,,,,,
1762188300,4003.68,4009.75,4001.93,4008.33,2.331897093464451,,3995.42,,,0,0,,,,,,,,,,,,
1762189200,4008.34,4009.86,4003.53,4008.42,2.3169091515951616,,,,,0,0,,,,,,,,,,,,
1762190100,4008.39,4012.18,4006.68,4007.01,2.2980709685632585,,,,,0,0,,,,,,,,,,,,
