time,open,high,low,close,px_fib_active,px_fib_dir,px_fib_origin,px_fib_e1_price,px_fib_e2_price,px_fib_e3_price,px_fib_e4_price,px_fib_100_price,px_fib_tp1_price,px_fib_tp2_price,px_fib_tp3_price,px_fib_e1_touch,px_fib_e2_touch,px_fib_e3_touch,px_fib_e4_touch,px_fib_100_touch,px_fib_tp1_touch,px_fib_tp2_touch,px_fib_tp3_touch,px_fib_reset_active,px_fibo_half_reached,px_sniper_active,px_sniper_dir,px_sniper_created,px_sniper_confirmed,px_sniper_zone_active,px_sniper_top,px_sniper_bot,px_macro_active,px_macro_dir,px_macro_locked,px_macro_visible,px_macro_new_cycle,px_macro_extended,px_macro_top,px_macro_bot,px_macro_e1_price,px_macro_e2_price,px_macro_e3_price,px_macro_e4_price,px_macro_ll_price,px_macro_tp1_price,px_macro_tp2_price,px_macro_hh_price,px_macro_e1_touch,px_macro_e2_touch,px_macro_e3_touch,px_macro_e4_touch,px_macro_ll_touch,px_macro_tp1_touch,px_macro_tp2_touch,px_macro_hh_touch,px_ifib_active,px_ifib_dir,px_ifib_reset_active,px_ifib_e1_touch,px_ifib_e2_touch,px_ifib_e3_touch,px_ifib_e4_touch,px_ifib_100_touch,px_ifib_tp1_touch,px_ifib_tp2_touch,px_ifib_tp3_touch
1762124400,3990.76,3998.36,3983.8,3996.36,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762125300,3996.36,3999.01,3988.36,3994.87,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762126200,3994.82,3995.91,3978.48,3979.22,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762127100,3979.25,3985.3,3977.95,3979.99,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762128000,3979.84,3987.8,3966.8,3968.48,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762128900,3968.5,3973.12,3962.51,3970.73,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762129800,3970.71,3977.63,3963.4,3972.74,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762130700,3972.71,3976.75,3968.1,3970.8,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762131600,3970.84,3988.97,3965.63,3986.54,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762132500,3986.51,3999.5,3986.47,3998.9,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762133400,3998.85,4001.86,3990.36,3992.1,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762134300,3992.09,4000.23,3990.36,3996.08,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762135200,3996.07,3998.77,3990.4,3995.07,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762136100,3995.07,4006,3994.94,3995.6,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762137000,3995.59,4006.31,3995.06,4001.77,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762137900,4001.76,4006.22,3997.92,4004.04,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762138800,4004.1,4011.43,4002.41,4007.74,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762139700,4007.73,4010.41,4005.65,4006.12,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762140600,4006.16,4013.2,4005.53,4010.89,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
1762141500,4010.85,4015.35,4010.85,4011.36,0,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,,0,,0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
